assists,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,63,True,True,100,100,2,0.77,206325,None,,0,0,-2,2,23.2,347,114,None,,0,2,0.2,0.7,0,0.08,0.03,0.14,0.05,0.06,1.73,0.66,0.02,Oleksandr,0.2,380,135,0,0.0,0,6.7,394,131,25,False,22.2,410,146,235,,2024-12-09T09:30:06.099861Z,48,298,33,0,0,None,0,,206325.jpg,2.3,210,65,0,225,False,0,0.0,Zinchenko,0.9,215,84,False,None,2,0.77,a,1,3,2022-07-22,21.0,325,110,16,89711,763,306729,1507,0.0,3.3,Zinchenko,1
0,0,30,True,True,100,100,0,0.0,69752,None,,0,0,-4,4,0.0,554,49,None,,0,1,0.0,0.5,0,0.00,0.0,0.00,0.0,0.00,2.91,1.46,0.0,Norberto,0.0,491,60,2,1.0,0,7.8,386,31,73,False,77.8,333,30,180,,2024-10-05T17:30:06.760449Z,41,593,41,0,0,None,0,,69752.jpg,3.5,77,13,0,30,False,11,5.5,Murara Neto,0.8,227,32,False,None,2,1.0,a,1,3,2024-08-30,0.0,524,37,7,86271,946,243087,2125,0.0,1.7,Neto,0
1,0,24,True,True,100,0,0,0.0,103955,None,,0,0,-3,3,37.8,307,179,3,,0,3,0.0,0.0,0,0.09,0.06,0.60,0.38,0.51,1.39,0.87,0.32,Raheem,0.0,713,321,1,0.62,0,11.3,361,176,186,False,23.8,402,186,144,,2024-12-21T21:30:08.006504Z,67,37,18,0,0,None,0,,103955.jpg,1.5,344,160,0,241,False,0,0.0,Sterling,0.8,222,67,False,None,2,1.25,a,1,3,2024-08-30,54.0,257,142,9,47445,417,154214,982,0.0,1.3,Sterling,0
1,1,104,True,True,75,100,1,0.13,466075,None,,0,0,-2,2,80.1,242,63,None,,1,2,1.1,2.0,1,0.55,0.07,1.12,0.14,0.57,7.80,1.0,0.07,Riccardo,1.5,218,72,10,1.28,1,39.9,219,67,578,False,196.0,207,79,704,Muscle injury - 75% chance of playing,2025-01-12T22:00:08.460074Z,58,90,8,0,0,None,0,,466075.jpg,2.4,206,63,0,106,False,0,0.0,Calafiori,1.3,191,75,False,None,8,1.02,d,1,3,2024-07-29,123.0,155,23,26,214442,3062,376910,5701,0.3,4.5,Calafiori,3
0,0,50,True,True,100,100,2,0.74,499169,None,,0,0,0,0,51.7,288,175,None,,0,3,1.2,1.7,0,0.12,0.04,0.12,0.04,0.00,2.58,0.96,0.0,Myles,1.2,234,107,3,1.12,0,9.5,374,183,597,False,37.4,386,177,242,,2024-12-03T15:00:08.736469Z,45,421,258,0,0,None,0,,499169.jpg,1.5,332,150,0,241,False,0,0.0,Lewis-Skelly,0.1,411,145,False,None,3,1.12,a,1,3,2022-12-04,6.0,389,206,9,22385,2917,13371,2022,0.3,2.0,Lewis-Skelly,1
1,2,141,True,True,100,100,2,0.27,195384,None,,0,0,0,0,117.0,193,122,None,,0,3,3.5,4.0,4,0.66,0.09,2.72,0.37,2.06,5.99,0.82,0.28,Mikel,3.5,74,33,7,0.95,2,49.8,176,97,633,False,187.0,218,92,660,,2024-11-30T22:00:08.239353Z,60,75,49,0,0,None,0,,195384.jpg,2.7,164,69,0,200,False,0,0.0,Merino,0.1,468,172,False,None,7,0.95,a,1,3,2024-08-27,196.0,98,64,35,23592,1377,19800,919,0.6,5.8,Merino,2
0,0,0,True,True,None,None,0,0,498046,None,,0,0,0,0,0.0,634,268,None,,0,3,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Salah-Eddine,0.0,585,231,0,0,0,0.0,638,266,638,False,0.0,639,267,0,,None,45,420,257,0,0,None,0,,498046.jpg,0.0,645,270,0,152,False,0,0,Oulad M'hand,0.0,638,274,False,None,0,0,a,1,3,2021-10-25,0.0,618,262,0,2112,73,1737,76,0.0,0.0,Oulad M'hand,0
0,0,0,True,True,None,None,0,0,551221,None,,0,0,0,0,0.0,656,68,None,,0,1,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Tommy,0.0,611,72,0,0,0,0.0,661,74,639,False,0.0,662,74,0,,None,45,449,19,0,0,None,0,,551221.jpg,0.0,667,74,0,241,False,0,0,Setford,0.0,530,67,False,None,0,0,a,1,3,2024-07-24,0.0,641,62,0,3408,179,3422,214,0.0,0.0,Setford,0
0,0,0,True,True,None,None,0,0,588793,None,,0,0,0,0,0.0,540,213,None,,0,2,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Maldini,0.0,477,191,0,0,0,0.0,559,215,657,False,0.0,560,215,0,,None,40,678,215,0,0,None,0,,588793.jpg,0.0,566,215,0,2,False,0,0,Kacurri,0.1,487,175,False,None,0,0,a,1,3,2024-09-14,0.0,508,203,0,10250,298,7484,365,0.0,0.0,Kacurri,0
0,0,0,True,True,None,None,0,0,606745,None,,0,0,0,0,0.0,545,218,None,,0,2,0.0,0.5,0,0.00,0,0.00,0,0.00,0.00,0,0,Ayden,0.0,482,196,0,0,0,0.0,564,220,658,False,0.0,565,220,0,,None,40,684,221,0,0,None,0,,606745.jpg,0.0,571,220,0,241,False,0,0,Heaven,0.0,523,188,False,None,0,0,a,1,3,2024-02-20,0.0,514,209,0,6446,171,5123,235,0.0,0.0,Heaven,0
